          	phi           	sigma_nu      	rho           	theta         	a             	delta         	s             	alpha         
ave_cash  	0.134139235506	0.235469246132	0.047126242547	0.327577180966	0.358421147732	0.038458519324	0.353882592761	0.054669943379
var_cash  	0.182370841812	0.085396750740	0.083557716220	0.044916640019	0.027532120385	0.048529913390	0.029512325619	0.100688071545
scorr_cash	0.008381944319	0.108517995499	0.176987623428	0.006500258641	0.030770525070	0.078855910568	0.031434483796	0.088133715399
ave_inv   	0.090222602504	0.420895554188	0.010782834785	0.700901017361	0.669535728898	0.832197767357	0.629011549670	0.212173878071
var_inv   	0.481788423880	0.728392083905	0.904609140237	0.119417465903	0.173942726888	0.066056167197	0.193874070806	0.213420444276
scorr_inv 	0.154814049275	0.303971363396	0.313987597363	0.042717142215	0.016771136489	0.165719590746	0.002871366457	0.043776681938
ave_prof  	0.386086854676	0.385109724237	0.236818043119	0.541942215655	0.813828147875	0.326164462771	0.801640470504	0.461510359462
var_prof  	0.124899890057	0.280549288719	0.206865364203	0.053428547021	0.103778292840	0.040396809726	0.082232833568	0.262855909963
scorr_prof	0.090199802174	0.202385467470	0.164526707180	0.102257166981	0.080279526216	0.073177533235	0.078821428591	0.052815842817
ave_tobq  	0.093148925586	0.033833919939	0.008521479876	0.000252351328	0.246449228761	0.013270257011	0.245832084621	0.047898430321
var_tobq  	0.031166197543	0.042633585252	0.062687125499	0.008651914665	0.003956616922	0.056602566950	0.003400914545	0.037639621064
ave_ext   	0.482118289929	0.261993914936	0.055074796500	0.134518754710	0.169871578157	0.011323624585	0.163702970889	0.161268922211
var_ext   	0.180598741746	0.028569422794	0.075848004525	0.061747833538	0.084194506073	0.070496279790	0.086436287018	0.056581781280
ave_dist  	0.811014662830	0.099114678427	0.263852486251	0.512266658495	0.502437723172	0.478450723035	0.499898968198	0.533335040714
var_dist  	0.222716512391	0.205144008591	0.426936997752	0.205253142085	0.266264147500	0.395615201609	0.241972661343	0.010314037256
ave_bon   	0.781096205452	0.236663505026	0.239793192025	0.431115048392	0.345158569892	0.286567998121	0.373630401921	0.833942360723
